Name	Prerequisite	Effect																								
Volley	Volley	You can use a weapon with the volley property to make an attack against a single target, or you can fire multiple shots into a 10-foot cube within the weapon's normal range, in which case each creature in the area must make a Dexterity saving throw with a DC equal to 8 + your attack modifier. On a failed save, the creature takes normal damage from the weapon. A volley cannot hit more targets than the number of pieces of ammunition in the weapon's magazine when it is fired.																								
Voltaic Halberd	Voltaic Halberd	The hallmark of the Cygnaran Stormguard, this electrically charged mechanikal halberd is powered by a storm chamber. If you are a Storm Knight, you have advantage on attack rolls made with this weapon when you use the Arc Lightning class feature. (See “Storm Knight” on p. 116.																								
Weatherometer	Weatherometer	Utilizing advances made by the Royal College of Cygnar to chart general information about weather conditions and even make predictions about the weather for short periods of time, this construction of wood and metal includes a number of small, clever devices that measure various effects, including the speed and direction of the wind, precipitation, air pressure, and temperature. Portable weatherometers are cherished by adventurers, sailors, and merchants alike. If rumors are to be believed, the Royal College is currently researching a mechanikal version of this device that can acquire more detailed information over a larger area. Setting up or breaking down a weatherometer takes 10 minutes. If you use a weatherometer, you make Wisdom (Nature) and Wisdom (Survival) skill checks with advantage to measure and predict weather conditions for the next 24 hours.																								
Ammunition	Ammunition	You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield. If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way.																								
Finesse	Finesse	When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.																								
Heavy	Heavy	Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively.																								
Light	Light	A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.																								
Loading	Loading	Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make.																								
Range	Range	A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range.																								
Reach	Reach	This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.																								
Special	Special	A weapon with the special property has unusual rules governing its use, explained in the weapon's description (See below)																								
Thrown	Thrown	If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.																								
Two-Handed	Two-Handed	This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it.																								
Versatile	Versatile	This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.																								
Half-Elf Versatility	Half-Elf	Choose one of the following Elf Race options: Nyss Weapon Training, Child of Winter, Light Resilience, Quick Response, Skill Versatility, Martial Society.	?																							
Brave the Weather	Bogrin	You have advantage on Constitution saving throws to resist the effects of extreme temperatures or weather conditions.	Borderlands																							
Wilderness Trapper	Child of Dhurnia	You double your proficiency bonus on checks made to detect and disarm traps. During a short rest,you can fashion a hunting trap using items on hand and in the local environment.	Borderlands																							
Poultice	Child of Dhurnia	During a short rest, you can fashion a poultice using appropriate materials on hand. As an action, you can use a poultice to stabilize a creature that has 0 hit points without needing to make a Wisdom (Medicine) check. A Poultice you create retains its potency for 24 hours.	Borderlands																							
Backstabber	Child of the Wurm	You gain an extra 1d4 weapon damage on attacks against creatures that haven't taken an action this combat, as you dart about them to strike at their weak points.	Borderlands																							
Harrying Strike	Child of the Wurm	When you take the Help action to aid anally's attack, the creature you help deals an extra 1d4 weapon damage on a successful melee attack.	Borderlands																							
Disease Resistant	Farrow	You have advantage on Constitution saving throws to resist diseases.	Borderlands																							
Heightened Olfactory Senses	Farrow	You have advantage on Wisdom (Perception) checks that rely on smell.	Borderlands																							
Relentless Endurance	Farrow	When you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. a long rest.	Borderlands																							
Tusks	Farrow	Your tusks are natural melee weapons that you can use to make unarmed strikes. On a hit, you deal piercing damage equal to 1d6 + your Strength modifier instead of the bludgeoning damage normally dealt by an unarmed strike.	Borderlands																							
People of the Land	Marchfolk	The Marchfolk live a nomadic existence in harsh environs with limited resources. You have proficiency in the Nature and Survival skills. Additionally, non-magical difficult terrain doesn't slow your travel.	Borderlands																							
A Life of Caution	Marchfolk	The Marches are a dangerous place, and every member of a tribe is expected to come to its defense when it is threatened. Because Marchfolk are taught from a young age to react swiftly to threats and to defend the tribe, you can't be surprised. Additionally, you are proficient with the kopis and your choice of the longbow, hunting rifle, or military rifle.	Borderlands																							
Pygmy Toughness	Pygmy	You have advantage on saving throws against poison and disease, and you have resistance to poison damage.	Borderlands																							
Arcane Anathema	Soulless	You can't cast spells, even if you have taken levels in a class that grants the spellcasting ability. In addition, when you are targeted by a spell, you have advantage on saving throws to resist the spell's effect. If you are subjected to a spell that allows you to make a saving throw to take only half damage, you instead take no damage if you succeed on the saving throw and only half damage if you fail. You can use magical weapons as normal.	Borderlands																							
Dwarven Combat Training	Dwarf	You have proficiency with the battleaxe, handaxe, throwing hammer, and warhammer.	PHB																							
Tool Proficiency	Dwarf	You gain proficiency with the artisan's tools of your choice: smith's tools, brewer's supplies, or mason's tools.	PHB																							
Stonecunning	Dwarf	Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.	PHB																							
Dwarven Resilience	Dwarf	You have advantage on saving throws against poison, and you have resistance against poison damage.	PHB																							
Heavy Armor Movement	Dwarf	Your speed is not reduced by wearing heavy armor.	PHB																							
Stout Resilience	Stout	You have advantage on saving throws against poison, and you have resistance to poison damage.	PHB																							
Brave	Stout/Lightfoot	You have advantage on saving throws against being frightened.	PHB																							
Lucky	Stout	When you roll a 1 on the d20 for an attack roll, ability check, or saving throw, you can reroll the die and must use the new roll.	PHB																							
Gnome Cunning	Gnome	You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic.	PHB																							
Natural Illusionist	Forest	You know the minor illusion cantrip. Intelligence is your spellcasting ability for it.	PHB																							
Speak with Small Beasts	Forest	Through sounds and gestures, you can communicate simple ideas with Small or smaller beasts. Forest Gnomes love animals and often keep squirrels, badgers, rabbits, moles, woodpeckers, and other creatures as beloved pets.	PHB																							
Artificer's Lore	Rock	Whenever you make an Intelligence (History) check related to magic items, alchemical objects, or technological devices, you can add twice your proficiency bonus, instead of any proficiency bonus you normally apply.	PHB																							
Tinker	Rock	You have proficiency with artisan's tools (tinker's tools). Using those tools, you can spend 1 hour and 10 gp worth of materials to construct a Tiny clockwork device (AC 5, 1 hp). The device ceases to function after 24 hours (unless you spend 1 hour repairing it to keep the device functioning), or when you use your action to dismantle it; at that time, you can reclaim the materials. You can have up to three such devices active at a time.	PHB																							
Clockwork Toy	Toy	This toy is a clockwork animal, monster, or person, such as a frog, mouse, bird, dragon, or soldier. When placed on the ground, the toy moves 5 feet across the ground on each of your turns in a random direction. It makes noises as appropriate to the creature it represents.	PHB																							
Fire Starter	Toy	the device produces a miniature flame, which you can use to light a candle, torch, or campfire. Using the device requires your action.	PHB																							
Music Box	Toy	When opened, this music box plays a single song at a moderate volume. The box stops playing when it reaches the song's end or when it is closed.	PHB																							
Spring-Loaded Toy	Toy	When placed on the ground, this toy springs into the air and moves 5 feet in a random direction. It makes a noise appropriate to the creature it represents.	PHB																							
Whistle	Toy	This toy produces a shrill whistle audible out to 30 feet. Once blown, it can't be blown again until the next dawn.	PHB																							
Albino Trollkin Cantrips	Albino	You know two cantrips of your choice from the sorcerer spell list. Charisma is your spellcasting ability for them.	Requiem																							
A Pirate's Life	Cryx	You are proficient with the cutlass and simple pistols.	Requiem																							
Smuggler's Heritage	Cryx	You have proficiency in two of the following skills: Deception, Intimidation, Perception,and Stealth.	Requiem																							
Touch of Blight	Cryx	You have advantage on saving throws against poison and disease, and you have resistance to acid damage and necrotic damage.	Requiem																							
Well Educated	Cygnar	You have proficiency in two of the following skills: Arcana, Insight, Medicine, Nature, and Religion	Requiem																							
Industrial Revolution	Cygnar	When you make an ability check using artisan's tools, you may roll a d4 and add the number rolled to the ability check.	Requiem																							
Right to Bear Arms	Cygnar	Cygnar's firearms are among the best in the Iron Kingdoms, and its citizens are very familiar with their operation. You gain +1 to attack rolls made with simple and martial firearms.	Requiem																							
Keen Senses	Elf	You have proficiency in the Perception skill.	Requiem																							
Darkvision	Elf/Dwarf/Trollkin	Accustomed to the gloomy forests of Ios, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.	Requiem																							
Tinkerer	City	You have proficiency with one set of artisan's tools of your choice: alchemist's supplies, mason's tools, smith's tools, or tinker's tools.	Requiem																							
Skill Versatility	Iosan/Soulless	The long lifespan of Iosans gives them the opportunity to master many skills and crafts. You have proficiency with any combination of two other skills or tools of your choice.	Requiem																							
Martial Society	Iosan/Soulless	When you make an attack roll and roll a 1, you can reroll the die but must use the new roll, even if it is another 1.	Requiem																							
Legacy of the North	Khador	You have proficiency in two of the following skills: Animal Handling, Athletics, Intimidation,and Survival.	Requiem																							
Iron Will	Khador	You have advantage on saving throws against being frightened.	Requiem																							
Northern Resilience	Khador	You gain a +2 bonus to Constitution Checks and Constitution saving throws.	Requiem																							
Dueling Code	Llaelese	You have proficiency with one martial weapon of your choice.	Requiem																							
Keen Mind	Llaelese	You have proficiency in two of the following skills: Deception, Intimidation, Perception, and Stealth.	Requiem																							
Blood of Liberty	Llaelese	The people of Llael are accustomed to living under a repressive regime. Members of the LlaeleseResistance have taught their people not only to work underground, but also whom they can (and cannot) trust.When you make an Intelligence (Investigation) or Wisdom(Insight) check, you may roll a d4 and add the number rolled	Requiem																							
Northkin Resilience	Northkin	Accustomed to the harsh winters of our homeland, you are naturally adapted to cold climates and have resistance to cold damage	Requiem																							
Nyss Weapon Training	Nyss	You are proficient with the Nyss longbow and Nyss claymore.	Requiem																							
Child of Winter	Nyss	Accustomed to the frozen mountains of your homeland, you have resistance to cold damage and are naturally adapted to cold climates.	Requiem																							
Light Resilience	Nyss	Accustomed to the glare of sunlight off of snow, you have advantage on saving throws against being blinded.	Requiem																							
Quick Response	Nyss	You can use your canny nature to respond quickly to a threat. When you roll initiative, you may do so with advantage. You can't use this feature again until you complete a long rest.	Requiem																							
Imposing Presence	Ogrun	You have proficiency in one skill of your choice: Intimidation or Persuasion.	Requiem																							
Lessons of Ghord	Ogrun	You benefit from the teachings of the Rhulfolk to the ogrun. You are proficient with your choice of mason's tools or smith's tools and have proficiency in the History skill.	Requiem																							
Huge Stature	Ogrun	Your large size allows you to wield two-handed weapons in one hand. When you use a weapon with the versatile property, you always use the damage value in parentheses that appears with the property.	Requiem																							
Oath of Fealty	Ogrun	Choose another friendly Rhulic or ogrun character to be your korune. You swear fealty to that character and are incapable of betraying that oath. You may disobey specific orders but must always work toward your korune's greater goals, such as the goal of a Rhulic dwarf's Oathbound trait. If your korune is within 5 feet of you when you take the Dodge action, you can choose to have your korune benefit from the action instead of you. After you use this trait, you can't use it again until you finish a short or long rest.	Requiem																							
Powerful Build	Ogrun	You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift.	Requiem																							
Thick-Skinned	Ogrun	Ogrun are hardy and blessed with naturally tough hide. You have a +1 bonus to AC when not wearing heavy armor.	Requiem																							
Coastal Home	Ord	You have proficiency with your choice of one waterborne vehicle and one set of the following tools:carpenter's tools, cartographer's tools, or cook's utensils.	Requiem																							
Shore Leave	Ord	You have proficiency in two of the following skills: Acrobatics, Athletics, Performance, and Survival.	Requiem																							
Sea Legs	Ord	You have a swimming speed of 30 feet. You can't use your swimming speed while wearing medium or heavy armor.	Requiem																							
Citizen Soldier	Protectorate	You have proficiency with simple melee weapons, martial melee weapons, light armor, medium armor, and shields.	Requiem																							
Pilgrim's Path	Protectorate	You have proficiency in the History, Religion, and Survival skills	Requiem																							
Firearms Training	Rhulic	You have proficiency with carbines.	Requiem																							
Master Craftsman	Rhulic	You have proficiency with tinker's tools. You can craft magic items in 50 gp increments instead of the normal 25 gp increments, and you can craft mundane items in 15 gp increments instead of the normal 5 gp increments.	Requiem																							
Oathbound	Rhulic	Rhulfolk of lawful alignment (the vast majority) take their oaths seriously and have been conditioned over millennia to obey them. A formal oath taken by a Rhulfolk dwarf cannot intentionally be broken in any way, nor do Rhulfolk look for loopholes to do so. When performing a task directly related to a sworn oath, you receive a +1 bonus on all skill checks.	Requiem																							
Ceaseless Stamina	Troll	Trollkin do not tire easily and can undertake long marches or perform grueling physical labor for far longer than most races. You ignore the effects of exhaustion until you have suffered 3 or more levels of exhaustion. When you finish a long rest, your exhaustion level is reduced by 3 instead of 1.	Requiem																							
Trollkin Toughness	Troll	You have advantage on saving throws against poison and disease, and you have resistance to poison damage.	Requiem																							
Born to Be Wild	Troll/Pygmy	You have proficiency in the Survival skill.	Requiem																							
Regenerative	Troll/Pygmy	Trollkin heal at a much faster rate than other races, especially when feasting and resting. When you roll a 1 or 2 when spending a Hit Die to regain hit points at the end of a short rest, you can reroll the die but must use the new roll, even if it is a 1 or 2.	Requiem																							
Woodland Survivalist	Woodland	Non-magical difficult terrain within forests doesn't slow your travel. Additionally, you have advantage on Survival (Wisdom) checks to hunt wild game within forests.	Requiem																							
Beneath Notice	City/Bogrin/Lightfoot	Gobbers and Bogrin are often overlooked due to their small size and ability to pass unnoticed. You are proficient in the Stealth skill. Additionally, when you perform the Disengage action, after moving you can attempt to perform the Hide action to remain hidden from any creature you have concealment against.	Requiem																							
Nimbleness	Gobber/Bogrin	You can move through the space of any creature whose size is larger than yours.	Requiem																							
Superior Darkvision	Gobber/Bogrin	You can see in dim light within 120 feet of you as if it were bright light and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.	Requiem																							
Gift of the Wurm	Tharn	As a bonus action, you can transform to manifest the bestial gift of the Devourer Wurm. When you transform, you gain 1d8 temporary hit points. This transformation lasts for 1 minute, until you lose all these temporary hit points, or until you revert to your normal form as a bonus action. You also gain additional benefits based on your Tharn subrace, described below. The amount of temporary hit points increases to 2d8 at 6th Level, 3d8 at 11th level, and 4d8 at 16th level. While you are transformed, you can speak only Molgur, and you cannot cast a spell with a verbal component. Once you transform, you can't do so again until you finish a short or long rest.	TDH																							
Heart Eater	Tharn	As an action, you can rip out and consume the heart of a disabled creature that is not a construct or undead. When you consume a heart, you can either regain one expended hit die or replenish 1d8 temporary hit points granted by the Gift of the Wurm. Once you use this trait, you can't use it again until you finish a long rest.	TDH																							
Shadow Hunter	Stalker	You have proficiency in the Acrobatics and Stealth skills.	TDH																							
Lurker	Stalker	While transformed, your walking speed increases by 5 feet, and you can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena. Additionally, you can roll a d4 and add the result to your Dexterity (Stealth) checks.	TDH																							
Athletic	Ravager	You have proficiency in the Athletics skill.	TDH																							
Bite	Ravager	Your fanged maw is a natural weapon, which you can use to make unarmed strikes. If you hit with it, you deal piercing damage equal to 1d6 + your Strength modifier instead of the normal bludgeoning damage for an unarmed strike.	TDH																							
Howler	Ravager	While transformed, you magically increase in size. While enlarged, your size is Large and you deal a bonus 1d4 weapon damage on Strength-based weapon attacks. If you lack the room to become Large, you attain the maximum size possible in the space available. Additionally, while transformed, when you score a critical hit with a melee weapon attack, you can roll one of the weapon's damage dice one additional time and add it to the extra damage of the critical hit.	TDH																							
Damage Resistance	Dragonborn	You have resistance to the damage type associated with your ancestry.	PHB																							
Breath Weapon	Dragonborn	You can use your action to exhale destructive energy. It deals damage in an area according to your ancestry. When you use your breath weapon, all creatures in the area must make a saving throw, the type of which is determined by your ancestry. The DC of this saving throw is 8 + your Constitution modifier + your proficiency bonus. A creature takes 2d6 damage on a failed save, and half as much damage on a successful one. The damage increase to 3d6 at 6th level, 4d6 at 11th, and 5d6 at 16th level. After using your breath weapon, you cannot use it again until you complete a short or long rest.	PHB																							
